RNA-DMSO-1	RNA-DMSO-2	RNA-DMSO-3	RNA-TPG-1	RNA-TPG-2	RNA-TPG-3
ADGRG5	0	0	0	0	0	0
ADGRG6	53	75	90	10	47	32
ADGRG7	0	0	0	0	0	0
ADGRL1	0	0	0	0	0	0
ADGRL2	303	340	329	270	373	272
ADGRL3	53	25	32	22	26	18
ADGRL4	0	0	0	0	0	0
ADGRV1	317	245	309	269	281	318
ADH1A	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0
ADH4	0	0	0	0	0	0
ADH5	308	182	270	291	317	176
ADH6	0	0	0	0	0	0
ADH7	0	0	0	0	0	0
ADHFE1	2	3	14	17	12	2
ADI1	6	0	0	0	0	5
ADIG	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0
ADIPOR1	159	172	117	156	193	128
ADIPOR2	0	1	0	0	10	0
ADIRF	0	0	3	0	3	0
ADK	750	699	751	803	1073	904
ADM	197	244	155	200	214	193
ADM2	0	0	0	0	0	0
ADM5	11	0	4	0	3	10
ADNP	729	561	580	738	829	672
ADNP2	815	572	702	932	1037	779
ADO	868	616	678	889	942	779
ADORA1	13	5	9	3	0	0
ADORA2A	31	15	22	6	6	4
ADORA2B	58	57	63	65	64	79
ADORA3	0	0	0	0	0	0
ADPGK	610	432	408	510	520	487
ADPRH	0	0	0	0	0	0
ADPRHL1	21	13	3	14	6	18
ADPRM	63	42	93	187	200	131
ADPRS	391	290	338	396	456	398
ADRA1A	3	0	0	0	0	0
ADRA1B	12	0	0	0	0	0
ADRA1D	0	3	8	0	0	0
ADRA2A	5	0	7	11	0	9
ADRA2B	2	0	0	0	0	0
ADRA2C	114	123	70	99	140	57
ADRB1	43	17	1	40	13	20
ADRB2	24	16	13	2	16	9
ADRB3	0	0	0	0	0	0
ADRM1	660	490	533	509	480	563
ADSL	611	523	548	568	624	596
ADSS1	3	3	0	11	2	4
ADSS2	231	206	246	242	285	246
ADTRP	0	0	0	0	3	0
AEBP1	0	0	0	0	0	0
AEBP2	349	291	329	317	381	301
AEN	1033	617	716	1188	1162	1035
AFAP1	63	71	37	37	32	38
AFAP1L1	27	26	14	26	57	30
AFAP1L2	0	0	9	2	0	0
AFDN	283	245	309	316	227	251
AFF1	92	69	137	98	135	68
AFF2	19	21	17	19	13	27
AFF3	139	125	216	157	130	160
AFF4	357	273	410	381	448	386
AFG1L	53	40	64	41	45	44
AFG3L2	361	261	376	345	330	342
AFM	0	0	0	0	0	0
AFMID	363	210	239	239	384	344
AFP	0	0	0	0	0	0
AFTPH	405	284	292	538	582	455
AGA	81	46	50	93	58	117
AGAP1	271	246	353	331	289	335
AGAP2	3	0	2	9	7	0
AGAP3	296	166	208	199	152	188
AGAP4	6	6	4	3	1	3
AGAP5	42	18	14	14	6	16
AGAP6	70	47	106	102	71	89
AGAP9	4	4	8	14	28	0
AGBL1	2	5	0	0	0	3
AGBL2	1	0	0	0	0	0
AGBL3	3	9	0	2	0	9
AGBL4	18	23	14	13	17	29
AGBL5	44	46	27	24	51	36
AGER	0	0	0	0	0	0
AGFG1	260	291	326	266	228	197
AGFG2	46	18	27	47	19	71
AGGF1	804	526	660	569	671	645
AGK	145	102	112	113	187	123
AGL	152	139	165	151	172	220
AGMAT	1	0	0	0	0	0
AGMO	2	0	0	3	0	0
AGO1	224	222	218	259	284	186
AGO2	711	522	706	636	643	542
AGO3	865	706	749	1002	1018	986
AGO4	127	70	103	182	117	125
AGPAT1	0	0	0	0	0	0
AGPAT2	107	100	99	108	97	53
AGPAT3	664	468	567	455	468	421
AGPAT4	104	73	59	109	120	83
AGPAT5	0	0	3	0	1	0
AGPS	244	160	197	299	220	226
AGR2	0	0	0	0	5	0
AGR3	0	0	0	0	0	0
AGRN	43	20	42	23	14	17
AGRP	0	0	0	0	0	0
AGT	0	0	0	0	0	0
AGTPBP1	51	76	45	34	38	59
AGTR1	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0
AGTRAP	89	66	78	40	116	67
AGXT	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0
AHCTF1	113	96	103	127	174	125
AHCY	206	241	177	261	242	214
AHCYL1	1327	1060	1021	1254	1209	1253
AHCYL2	55	10	31	24	36	22
AHDC1	73	52	39	66	30	54
AHI1	525	376	421	754	708	605
AHNAK	21	27	29	21	38	16
AHNAK2	0	0	0	1	16	0
AHR	134	130	97	178	116	170
AHRR	21	19	27	26	49	6
AHSA1	357	351	252	251	298	282
AHSG	0	0	0	0	0	0
AHSP	0	0	0	0	0	0
AICDA	0	0	0	0	0	0
AIDA	73	27	18	36	38	54
AIF1	0	0	0	0	0	0
AIF1L	156	104	115	104	121	70
AIFM1	325	206	319	347	361	316
AIFM2	76	52	86	77	60	41
AIFM3	0	0	0	0	0	0
AIG1	355	312	324	391	368	384
AIM2	0	0	0	0	0	0
AIMP1	176	161	115	197	149	161
AIMP2	596	426	526	567	681	636
AIP	49	54	63	48	31	49
AIPL1	0	0	0	0	0	0
AIRE	0	0	0	0	0	0
AJAP1	0	0	0	0	0	0
AJM1	7	1	5	3	6	0
AJUBA	139	125	109	174	195	134
AK1	64	40	40	29	25	37
AK2	666	461	586	755	604	693
AK3	482	357	403	349	408	536
AK4	245	144	175	145	82	107
AK4P3	0	0	0	0	0	0
AK5	8	6	0	0	0	0
AK6	1	0	0	0	6	0
AK7	5	5	11	17	24	11
AK8	0	0	0	0	0	0
AK9	21	1	20	10	9	4
AKAIN1	0	0	0	0	0	0
AKAP1	678	502	645	551	525	621
AKAP10	906	666	763	913	952	955
AKAP11	148	89	97	163	223	133
AKAP12	293	149	190	205	253	251
AKAP13	716	485	632	981	987	810
AKAP14	0	0	0	0	0	0
AKAP17A	0	0	0	0	0	0
AKAP3	18	5	0	4	5	6
AKAP4	0	0	0	0	0	0
AKAP5	58	93	48	85	133	67
AKAP6	5	27	17	15	14	2
AKAP7	31	11	7	23	31	1
AKAP8	484	328	387	336	405	385
AKAP8L	201	168	233	194	143	178
AKAP9	869	691	1079	944	1028	868
AKIP1	123	122	105	169	150	166
AKIRIN1	1555	1188	1259	1266	1402	1138
AKIRIN2	220	138	181	259	208	204
AKNA	23	10	27	7	30	24
AKNAD1	0	0	1	0	0	0
AKR1A1	212	146	177	224	195	224
AKR1B1	270	161	180	249	151	271
AKR1B10	0	0	0	0	0	0
AKR1B15	0	0	0	0	0	0
AKR1C1	0	0	0	0	0	0
AKR1C2	0	0	0	0	0	0
AKR1C3	0	0	12	0	0	0
AKR1C4	0	0	0	0	0	0
AKR1C8P	0	0	0	0	0	0
AKR1D1	0	0	0	0	1	0
AKR1E2	0	0	0	0	0	0
AKR7A2	182	140	165	193	168	175
AKR7A3	14	0	10	11	0	10
AKR7L	37	12	18	4	25	18
AKT1	209	152	222	184	162	201
AKT1S1	18	23	17	13	15	21
AKT2	741	506	585	640	575	614
AKT3	0	0	0	0	0	0
AKTIP	38	17	25	29	15	18
ALAD	45	79	75	94	65	74
ALAS1	119	142	128	167	153	182
ALAS2	0	0	0	0	0	0
ALB	0	0	0	0	0	0
ALCAM	99	107	81	87	99	92
ALDH16A1	78	54	92	56	115	63
ALDH18A1	465	290	336	449	502	510
ALDH1A1	0	0	0	0	0	0
ALDH1A2	381	336	420	450	412	375
ALDH1A3	14	13	13	10	5	5
ALDH1B1	149	114	82	105	168	127
ALDH1L1	7	9	0	9	23	9
ALDH1L2	4	4	5	25	26	7
ALDH2	136	173	103	105	145	168
ALDH3A1	0	0	0	0	0	0
ALDH3A2	328	267	324	222	174	247
ALDH3B1	5	12	0	0	0	4
ALDH3B2	0	0	0	0	0	0
ALDH4A1	64	50	39	42	20	47
ALDH5A1	280	165	224	226	236	181
ALDH6A1	122	100	88	101	52	121
ALDH7A1	732	626	724	651	658	761
ALDH8A1	5	1	9	0	0	1
ALDH9A1	503	320	368	557	492	520
ALDOA	761	445	533	490	511	424
ALDOB	0	0	0	0	0	0
ALDOC	10	0	4	4	8	4
ALG1	196	101	134	141	197	118
ALG10	43	36	66	82	41	40
ALG10B	297	289	263	188	261	200
ALG11	1118	773	912	1111	788	842
ALG12	85	62	84	115	104	124
ALG13	653	426	583	807	981	828
ALG14	80	102	72	115	72	87
ALG1L2	0	0	0	0	0	0
ALG2	437	260	337	550	528	573
ALG3	201	132	149	164	144	160
ALG5	424	448	421	631	684	540
ALG6	203	146	132	134	161	131
ALG8	167	135	174	196	185	156
ALG9	125	116	81	197	171	149
ALK	0	0	0	0	0	0
ALKAL1	7	12	5	5	13	3
ALKAL2	2	0	0	0	0	0
ALKBH1	94	105	85	104	116	114
ALKBH2	194	100	131	158	205	153
ALKBH3	147	100	165	208	238	120
ALKBH4	301	292	303	268	285	276
ALKBH5	895	692	716	736	653	646
ALKBH6	61	49	61	109	85	133
ALKBH7	55	25	31	5	41	13
ALKBH8	175	149	140	218	339	222
ALLC	0	0	0	0	0	0
ALMS1	250	164	270	261	319	272
ALOX12	0	0	0	0	0	0
ALOX12B	13	0	2	9	0	9
ALOX15	0	0	0	0	0	4
ALOX15B	0	0	0	2	3	3
ALOX5	0	0	0	0	0	0
ALOX5AP	0	0	0	0	0	0
ALOXE3	0	0	0	0	6	0
ALPG	0	0	0	1	0	0
ALPI	0	0	0	0	0	0
ALPK1	14	12	33	11	31	51
ALPK2	0	0	0	0	0	0
ALPK3	2	5	0	1	3	0
ALPL	0	2	0	4	6	0
ALPP	9	3	11	4	14	12
ALS2	173	109	110	129	183	80
ALS2CL	0	2	0	3	0	0
ALX1	83	66	62	131	57	72
ALX3	0	0	0	0	0	0
ALX4	69	50	34	34	68	20
ALYREF	231	213	199	211	278	226
AMACR	86	73	97	122	119	112
AMBN	3	0	6	8	10	0
AMBP	0	3	0	0	0	0
AMBRA1	23	16	15	31	21	16
AMD1	2124	1768	1724	1662	1717	1581
