rownames(count)	DMSO.Total.1	DMSO.Total.2	DMSO.Total.3	TPG.Total.1	TPG.Total.2	TPG.Total.3	p.value	q.value	ranking	log2FC	lfcSE	baseMean	stat
ACP1	1560	1438	1319	1691	1561	1513	0.556251999050701	0.758407447981064	10200	0.0466575475276661	0.0792932505822331	1503.0796055587	0.588417641918699
ACP2	252	255	199	320	277	266	0.279835485618174	0.51778709554379	6903	0.190984562582768	0.17672481693186	259.236571749232	1.08068898244441
ACP3	9	1	2	15	9	25	0.041270074811902	1	3296	1.99571682740474	0.977906004976478	9.93678155414354	2.04080639371138
ACP4	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACP5	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACP6	491	400	507	524	548	538	0.398148470337218	0.630685811816988	8366	0.111196468875609	0.131603951104656	497.849547293998	0.844932602268006
ACP7	0	0	0	1	0	0	0.832014989074624	1	13446.5	0.865541679578049	4.0804728567969	0.153551813769926	0.212117984839993
ACR	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACRBP	0	0	2	0	0	1	0.801023495313745	1	13083	-1.01707966552873	4.03566641992648	0.519370522623343	-0.25202272925899
ACRV1	0	0	0	0	0	0	1	1	17362	NA	NA	0	NA
ACSBG1	6	0	4	10	5	1	0.683745847893838	1	11779	0.587468848753502	1.44214763693213	4.15497887657731	0.407356940238949
ACSBG2	5	0	0	0	0	0	0.397200896740589	1	8348.5	-3.17949117979967	3.75546328204032	0.798179561528415	-0.846630879072867
ACSF2	20	30	43	19	65	18	0.978402700929088	0.990357288503128	14904	0.0158287925842979	0.584703055618974	32.4034768249712	0.0270715065231554
ACSF3	131	145	148	175	185	153	0.431177705203587	0.661484757526951	8714	0.172296245957204	0.218878395554439	155.124383100712	0.787177946552293
ACSL1	247	191	283	245	270	190	0.51027644543054	0.72539106424951	9607	-0.131250938283663	0.199346116229263	236.055533958558	-0.658407300660499
ACSL3	1873	1786	1846	2139	1950	1834	0.923464769675816	0.96574492775989	14396	0.00689468529736252	0.0717671126086933	1892.94682406591	0.0960702618057864
ACSL4	282	269	339	333	295	257	0.516760722610399	0.729387586107418	9711	-0.110578835999296	0.170555094339001	294.360994355288	-0.648346720031158
ACSL5	0	1	0	0	1	0	0.981184997591074	1	14937	-0.096230992635582	4.0804728567969	0.33909636630817	-0.0235832943908176
ACSL6	27	45	26	29	31	42	0.931702601483511	0.969357204571274	14464	-0.0417497567329381	0.487145238209683	33.4736190222995	-0.0857028940411558
