,log2FC_total,padj_total,log2FC_trap,padj_trap,gene,regulation,plot_order
PUS7,-0.19739308431248,0.38506035634536,-0.139135709620137,0.626787196814349,PUS7,ns,0
PUDP,0.0308619186620725,0.905294439200874,-0.128955366880657,0.599272917154016,PUDP,ns,0
PTTG1IP,-0.0449004613166085,0.849423236076888,-0.400702083646194,0.0573535267177633,PTTG1IP,ns,0
PTTG1,-0.427691780983718,0.0145395865991392,-0.382418287404125,0.112347537310991,PTTG1,ns,0
PTPN18,-0.0679223787813921,0.757973036870824,-0.0785257128089037,0.563752250634326,PTPN18,ns,0
PTPN2,-0.0050017473980455,0.989429602307228,0.49484304034315,0.123713507735867,PTPN2,ns,0
PTPN21,0.0042180091083524,0.981838944881337,-0.0237828762786114,0.886831176386794,PTPN21,ns,0
PTPN23,0.0847879028873444,0.708467116199791,0.0382894619173354,0.908264567620374,PTPN23,ns,0
PTPN3,-0.135590304675088,0.528497170679612,0.0983507497271519,0.713381955365297,PTPN3,ns,0
PTPN4,0.269934979846688,0.228713350733239,0.0098096191939509,0.983683813893907,PTPN4,ns,0
PTPRA,-0.290554240708,0.226378805127341,0.0203859900520079,0.961289788662394,PTPRA,ns,0
PTPRD,-0.0330655219806357,0.912365441442389,-0.0415164166362202,0.538328999570366,PTPRD,ns,0
PTPRF,-0.339459258498948,0.15539929619049,-0.211287999640642,0.473233320547327,PTPRF,ns,0
PTPRG,0.008651077236562,0.979023516506725,-0.264378860459502,0.237049593394532,PTPRG,ns,0
PTPRS,-0.0503918901866426,0.822973503232027,0.0964535241102436,0.572653193251558,PTPRS,ns,0
PTRH1,-0.0557632948431818,0.792299110366733,0.152864015969452,0.402690858720166,PTRH1,ns,0
PTRH2,0.10737045498371,0.637171679871783,0.481683930944882,0.0187799396916076,PTRH2,ns,0
PTRHD1,-0.0122824409935173,0.968973876134084,-0.365580494273255,0.150061076266573,PTRHD1,ns,0
PTS,-0.0924004804987452,0.724547114198845,-0.131317377562122,0.546166378837679,PTS,ns,0
PTPN13,0.452155398745403,0.0204403600858612,0.0968796882589269,0.799052070914724,PTPN13,ns,0
PSME4,0.0869732735845951,0.72825340775441,-0.211135920625908,0.516170187696641,PSME4,ns,0
RAB9B,0.0608811866136155,0.77746228278417,-0.15508236688171,0.0779003373630501,RAB9B,ns,0
RABEP2,-0.0358549560910295,0.883930964772187,-0.152900871184482,0.33654065938571,RABEP2,ns,0
RBL1,0.449864119818205,0.0004841379826294,0.299678053033281,0.365315718235263,RBL1,ns,0
RBL2,-0.0001922499154,0.999065919190984,0.0618294080233813,0.859716964672923,RBL2,ns,0
RBM10,0.155134667770171,0.536670003970737,0.0820695591744305,0.836540201526089,RBM10,ns,0
RBM11,0.159628017944138,0.404078943505551,0.0692763566978424,0.796819006342438,RBM11,ns,0
RBM12,-0.0092643028189127,0.97117182553798,-0.21234096047371,0.402043348758721,RBM12,ns,0
RBM12B,-0.601314645618436,0.0001471803353257,-0.394788669143837,0.201795351224408,RBM12B,ns,0
RBIS,-0.137647062050643,0.560368764286347,0.0662881922952821,0.861240444709661,RBIS,ns,0
RBM14,0.308728602790296,0.0667829820938001,0.369198798649032,0.121589350758445,RBM14,ns,0
RBM15,0.257507245661544,0.180092205504931,0.170939642473707,0.586413998649597,RBM15,ns,0
RBM15B,-0.0004072851006644,0.9979184312492,-0.0107805186718084,0.976995189907383,RBM15B,ns,0
RBM17,-0.256733859358801,0.0271288036779834,-0.320273723139666,0.0877039929357693,RBM17,ns,0
RBM18,0.0795119733754811,0.769865921222127,-0.114525052647388,0.314318461585029,RBM18,ns,0
RBM19,-0.088177658756614,0.723156976376282,-0.0153264151474844,0.970274418735139,RBM19,ns,0
RBM20,-0.143730864675947,0.566674452756627,-0.0190337147316739,0.960984800011634,RBM20,ns,0
RBM14-RBM4,-0.013080606738433,0.95829182210641,0.224846977999446,0.24246008164875,RBM14-RBM4,ns,0
RBFA,0.225523508815155,0.372180869826629,-0.0597579815748046,0.878413661110685,RBFA,ns,0
RBCK1,-0.19378820412915,0.386578181498666,0.0460076005727212,0.911128944019133,RBCK1,ns,0
RBBP9,0.0479367534447371,0.872649040617834,-0.403112562861436,0.259215166932409,RBBP9,ns,0
RASL10B,-0.376930465911998,0.179965819538685,-0.220786034182102,0.313687667293346,RASL10B,ns,0
RASL11B,-0.0944471711825568,0.657209397931627,-0.0927662235729515,0.500729228200254,RASL11B,ns,0
RASSF1,0.605676482269908,0.0917702315291202,0.69215370139894,0.0781229414605242,RASSF1,ns,0
RASSF3,-0.639807010307175,0.005316682203103,0.0042883641838391,0.993987768974277,RASSF3,ns,0
RASSF8,-0.0041279215366093,0.990812385052769,-0.0309204470744133,0.936819632995778,RASSF8,ns,0
RAVER1,0.0351365265854055,0.896949957800502,0.0814531299347337,0.813213362623122,RAVER1,ns,0
RAVER2,-0.202082741387365,0.413106580174652,-0.243584055157158,0.390682679085859,RAVER2,ns,0
RB1,-0.0203060004737504,0.944113790582654,-0.15472432330285,0.654031887116978,RB1,ns,0
RB1CC1,0.136174468742488,0.46786034959929,-0.446390300950615,0.161878863047592,RB1CC1,ns,0
RBAK,0.449380238561424,0.0146430239716161,0.294430216529709,0.372664656634167,RBAK,ns,0
RBBP4,0.1673426496142,0.349843141158326,-0.295126138223173,0.373978315349991,RBBP4,ns,0
RBBP5,-0.0421195700394126,0.884726446720736,0.0577210024367248,0.886380895929007,RBBP5,ns,0
RBBP6,-0.568421796963674,1.75682553990651e-07,-0.330972576597382,0.0956999046012057,RBBP6,ns,0
RBBP7,0.167643001944501,0.224240371078566,0.376827482034732,0.0031825067982231,RBBP7,ns,0
RBBP8,0.466074998014168,0.0015610259619124,0.139609050851075,0.662972423289271,RBBP8,ns,0
RBM22,-0.296617497892414,0.0253613316114193,-0.0562358901338234,0.863024687209474,RBM22,ns,0
RASGRP1,-0.0986835778451309,0.65671580030393,-0.0396977479732464,0.805740884373397,RASGRP1,ns,0
RBM23,-0.104586040922054,0.598828059561303,0.255557738275686,0.232334667018207,RBM23,ns,0
RBM26,-0.0964799185884641,0.574290391991656,0.160289524395072,0.571784565425253,RBM26,ns,0
RBMS2,-0.148895346165634,0.534743713558812,0.0362494733204205,0.84298439466919,RBMS2,ns,0
RBMS3,-0.147417755297751,0.55396988108037,-0.827722254521404,0.0927385494927379,RBMS3,ns,0
RBMX,-0.0226445585401698,0.92842435488701,-0.0170370691230106,0.970914259209045,RBMX,ns,0
RBMX2,0.0396083328633686,0.878909394841525,-0.0785271101369775,0.817279352737428,RBMX2,ns,0
RBMXL1,0.0193462174519887,0.946224434615667,0.0884134458984423,0.802917603049645,RBMXL1,ns,0
RBPJ,0.0300320395869214,0.885470750252543,0.108508861193921,0.65376397318322,RBPJ,ns,0
