rownames(count),DMSO.P0.1,DMSO.P0.2,DMSO.P0.3,TPG.P0.1,TPG.P0.2,TPG.P0.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
ADNP,455,588,424,440,317,325,0.416465421861513,0.732713520878938,7291.0,-0.136010728741798,0.167383680947113,406.860716454259,-0.812568632570415,0,8.668391180649444,ns
ADNP2,623,776,567,597,638,452,0.566052720060891,0.831541459014908,8921.0,0.0766574824073987,0.133578823322922,586.947268327947,0.573874514690715,0,9.197087086399645,ns
ADO,573,912,606,681,516,553,0.681209475255487,0.885145457962159,10134.0,0.0637791840173764,0.155251038556039,616.969725639589,0.410813251947134,0,9.269055888645028,ns
ADORA2B,146,101,102,124,73,46,0.434859400477317,0.745667713283679,7496.0,-0.30060995439277,0.384951598562557,93.5638986059296,-0.780903249954731,0,6.547880071822028,ns
ADPGK,176,212,139,251,198,124,0.11607237544254,0.397702171201287,3508.0,0.394366844166546,0.250953317199132,176.304984092963,1.57147492038775,0,7.461929449597669,ns
ADPRM,117,49,55,252,60,146,0.0056799441750804,0.0632524894386037,1080.0,1.3013568012952,0.470533041550153,114.433492624013,2.76570758348432,0,6.8383655545722775,ns
ADPRS,547,642,477,775,572,326,0.137402167801739,0.435521501756788,3800.0,0.260200252157762,0.175155925616262,532.011693331038,1.48553496687185,0,9.055314145511158,ns
ADRA2C,80,124,131,32,45,96,0.263737169471236,0.595898353791199,5477.0,-0.55631636858821,0.497776980937208,83.256176772435,-1.11760163666224,0,6.379485404529421,ns
ADRM1,683,754,516,566,652,444,0.649124473241425,0.872043379392472,9790.0,0.0670741503204564,0.147422576044452,580.723617209897,0.454978824276083,0,9.18170789737956,ns
ADSL,461,525,359,516,373,362,0.241936284548523,0.570398474219678,5230.0,0.194341925582675,0.166081391373542,418.625078985248,1.17016075055375,0,8.70951493291123,ns
ADSS2,216,217,125,224,205,96,0.54135928456041,0.818881664621814,8631.0,0.176327624616901,0.288702561245509,171.544805981896,0.610758781827898,0,7.422441634541748,ns
AEBP2,104,240,75,130,140,129,0.375996429899485,0.697631756888866,6866.0,0.312746699224058,0.35326751873021,130.634351053073,0.885297069903849,0,7.029390501494856,ns
AEN,669,789,700,927,765,638,0.001507494339469,0.0250077716148887,725.0,0.392822275667448,0.123792291879901,731.463383204647,3.17323695766575,0,9.514641835148337,ns
AFAP1,1,27,21,44,40,9,0.23642189734981,0.566095178051066,5139.0,1.16266803499708,0.98200164770846,22.6315770259097,1.18397768243079,0,4.500265213658659,ns
AFDN,79,103,46,90,59,80,0.393923096069187,0.713784121054532,7046.0,0.35264810710466,0.413651623858581,74.1293837372412,0.852524411279049,0,6.211973612710915,ns
AFF1,16,54,52,75,60,33,0.211105372539534,0.535307677742564,4811.0,0.71559645570497,0.572233746305799,46.9411823447427,1.25053172820493,0,5.552782275508874,ns
