,log2FC_total,padj_total,log2FC_trap,padj_trap,gene,regulation,plot_order
PTCD1,0.0434366131844383,0.841594934533574,0.381451286470329,0.147724369754897,PTCD1,ns,0
PTCD3,0.0475695084642054,0.790833434142608,-0.0193379549993235,0.951643783365925,PTCD3,ns,0
PTCH1,0.050176956620749,0.804559036404467,-0.10350197540567,0.567245127951342,PTCH1,ns,0
PSMF1,-0.187191466113148,0.0888214476080872,-0.05505848069912,0.813242005471768,PSMF1,ns,0
PTPN12,0.269916940136801,0.124608589989292,-0.0602619562353148,0.799464978109305,PTPN12,ns,0
PSD3,-0.109331541406637,0.53192456530304,-0.0523872129969634,0.85974369110913,PSD3,ns,0
PRXL2A,-0.349785478557228,0.0984302921880356,-0.525189225148639,0.0468387892998215,PRXL2A,ns,0
PRKD3,0.344941233509759,0.05321302082764,0.11558732592706,0.67809452762005,PRKD3,ns,0
PRKDC,0.0803744079316822,0.672112911258977,0.103684324194447,0.694585701108406,PRKDC,ns,0
PRKG1,-0.0259476987896128,0.909560336818685,0.0829155323569203,0.773885555647215,PRKG1,ns,0
PRKRA,0.055140308518685,0.788322385418726,-0.107289479323072,0.696805783068965,PRKRA,ns,0
PRKRIP1,0.368879228600132,0.0505832743590342,0.663245634873466,0.0118289599937514,PRKRIP1,ns,0
PRMT1,0.149136966535575,0.293707466781238,0.148780709040805,0.448531935593145,PRMT1,ns,0
PRKD2,-0.18477680204244,0.297081928822538,0.0315812082936633,0.918938405953862,PRKD2,ns,0
PRMT2,-0.17127686172491,0.18283816836523,-0.509882522653337,0.009889925381008,PRMT2,ns,0
PRMT5,0.102828089930447,0.325424425292138,0.0754662074051316,0.631139794653448,PRMT5,ns,0
PRMT6,-0.1027742022218,0.564690873814488,-0.401282553074652,0.134237775985997,PRMT6,ns,0
PRMT7,-0.0731927143913175,0.700191524978502,0.201411981643672,0.438301909217183,PRMT7,ns,0
PRMT9,-0.0548276685075196,0.743460709565893,0.0831873196449268,0.566540198760723,PRMT9,ns,0
PRNP,0.273812914814528,0.0730264408636094,0.383837422928063,0.0959529726426235,PRNP,ns,0
PROCR,0.0108057046010212,0.966128074022734,-0.0302074849562397,0.926986035921768,PROCR,ns,0
PRMT3,0.0066038771423845,0.981287604112357,0.121287198886914,0.654958523608287,PRMT3,ns,0
PRKD1,0.347648507910745,0.0509302711338704,0.494215460828523,0.117979986934533,PRKD1,ns,0
PRKCZ,0.659003639615879,0.0019466911795876,0.420721816112272,0.12742638875015,PRKCZ,ns,0
PRKCSH,-0.148911342512903,0.419984224800811,0.0242982033682098,0.940754354627549,PRKCSH,ns,0
PRKAA2,0.166270276151729,0.182186260653315,0.223133323522121,0.358285887600819,PRKAA2,ns,0
PRKAB2,0.172684919352382,0.300130171572123,0.327025743740232,0.236953836641943,PRKAB2,ns,0
PRKACB,0.0360069299720375,0.864308935964837,-0.109305336822545,0.602957507345772,PRKACB,ns,0
PRKAG1,0.196575890666249,0.283264957441796,0.299413262525171,0.263059694055888,PRKAG1,ns,0
PRKAG2,-0.187801010065427,0.310797471580988,-0.144096401760788,0.149390500066195,PRKAG2,ns,0
PRKAR1A,-0.0777981671865127,0.542136063034597,0.0478013203847956,0.850068274740999,PRKAR1A,ns,0
PRKAR1B,-0.064414955118665,0.670352742260129,0.0267026888265891,0.927163505911335,PRKAR1B,ns,0
PRKAR2A,-0.176184088177158,0.0335383182748763,-0.262278731179349,0.0559135837179693,PRKAR2A,ns,0
PRKCA,-0.0396424691587983,0.856203061131128,0.0746592108528883,0.776015332971604,PRKCA,ns,0
PRKCB,-0.214170371516187,0.169594963247711,-0.443665542293458,0.0849181660470967,PRKCB,ns,0
PRKCD,0.0124622223407432,0.957036406320777,0.132405678346968,0.601660103571903,PRKCD,ns,0
PRKCE,-0.0098353657699397,0.957980843787772,-0.0490441419140306,0.682540612430838,PRKCE,ns,0
PRKCH,-0.0199683279384303,0.92026271873404,-0.0447398895150851,0.879027166416062,PRKCH,ns,0
PRKCI,-0.0416223245383276,0.849387511258526,-0.0827783914464837,0.772828551075157,PRKCI,ns,0
PRKCQ,0.065296121099507,0.600994556373307,0.0632933129895887,0.693679268788153,PRKCQ,ns,0
PROK2,0.0779968116661393,0.653134492377443,-0.0514023127521169,0.763786337423762,PROK2,ns,0
PRXL2C,-0.0751343206266527,0.695672987627175,-0.411235549871284,0.172164035964025,PRXL2C,ns,0
