rownames(count),DMSO.Total.1,DMSO.Total.2,DMSO.Total.3,TPG.Total.1,TPG.Total.2,TPG.Total.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
ACTA2,141,129,143,74,135,107,0.0823289102189728,0.23579288760083,4149.0,-0.477165298363477,0.274654356580269,121.721593926338,-1.73733016400934,0,6.927441320742559,ns
ACTB,3109,3362,3437,2975,3244,2791,0.0026555553225777,0.018693290828114,1587.0,-0.238573815079771,0.0793915184808824,3148.89403426806,-3.00502899610391,0,11.62062949376824,ns
ACTBL2,11,8,2,8,9,26,0.281935221803112,1.0,6937.0,0.984244247935852,0.914740278567694,10.6149607841777,1.0759821896954,0,3.408027136260011,ns
ACTG1,44981,40369,45329,37323,37763,36032,3.8021456445849996e-13,3.2719084341502394e-11,129.0,-0.329318752431388,0.0453455704374059,40225.8801197063,-7.26242385429847,0,15.29583636620221,ns
ACTL6A,661,632,623,657,719,626,0.763391503425503,0.885732826999451,12589.0,-0.0334579054594413,0.111144698952172,649.623275112463,-0.301030150559308,0,9.343459513011755,ns
ACTL8,66,65,72,75,68,53,0.63583385135553,0.81177591534189,11144.0,-0.154433471017949,0.32613118224215,66.1495978049318,-0.4735317547872,0,6.047660479711884,ns
ACTN1,1640,1158,1353,1519,1487,1421,0.965372503265159,0.984619639723129,14780.0,0.0039497917137977,0.0909822681034128,1417.48690173913,0.0434127637850083,0,10.469119688694981,ns
ACTN2,50,31,53,42,82,56,0.405115016630341,0.636994589180371,8447.0,0.339314135598169,0.407574341487677,51.7928775875229,0.832520846036693,0,5.694681811029801,ns
ACTR10,583,457,476,655,667,513,0.155174457938359,0.361041116300797,5269.0,0.180170899626872,0.126747949639198,552.145430455429,1.42148965833174,0,9.108904500551875,ns
ACTR1A,1422,1359,1133,1360,1203,1261,0.180139257176114,0.395906928115628,5622.0,-0.128696961272565,0.0960191209728844,1283.94676846006,-1.34032638466779,0,10.32636967522928,ns
ACTR1B,540,459,408,418,475,465,0.318469103251962,0.557016736908271,7389.0,-0.140309488892441,0.140645804343005,458.785528387113,-0.997608777224924,0,8.841676074473222,ns
ACTR2,2925,2632,2965,2829,2617,2289,0.0005613905702562,0.0056809450505147,1102.0,-0.239003923955888,0.0692842701382644,2698.20354451245,-3.4496130720426,0,11.39778346970968,ns
ACTR3,1237,1045,1293,1349,1357,1102,0.940560622082742,0.9737079645062,14541.0,-0.007187488265478,0.0963919262796794,1221.44295788664,-0.0745652519135651,0,10.25437077512306,ns
ACTR3B,76,74,86,64,97,62,0.570834661126203,0.76996545929402,10405.0,-0.181672452248126,0.320510203959131,76.2535431302759,-0.566822678354699,0,6.252732469010505,ns
ACTR5,190,143,141,232,187,152,0.430714137193446,0.661207768239866,8708.0,0.171982690240358,0.218260399077588,171.85735720136,0.787970199666046,0,7.425067804480088,ns
ACTR6,555,516,502,698,710,676,0.0054909555264768,0.0328421860449459,1879.0,0.310697343221966,0.111893436854524,603.940311354641,2.77672535544612,0,9.238262161894857,ns
ACTR8,106,139,136,187,145,143,0.389744312876178,0.623063308934109,8253.0,0.209449007731205,0.243522379791218,141.757916055124,0.860081147000839,0,7.147285490265643,ns
ACTRT3,9,4,12,14,25,6,0.379834167063241,1.0,8147.0,0.744335916987657,0.847568111946322,11.3875597512527,0.878201889023873,0,3.509386718847492,ns
ACVR1,121,78,137,164,133,162,0.167446269448457,0.378835179487803,5452.0,0.361010363621784,0.261515287496074,131.099609033508,1.38045606082284,0,7.034519572922034,ns
ACVR1B,437,374,438,394,508,354,0.562362166156668,0.763829977548656,10271.0,-0.0890859997553458,0.153772471336355,414.959022194575,-0.57933646368005,0,8.696825065040082,ns
ACVR1C,20,37,34,18,41,18,0.520454690436368,0.732250539329254,9753.0,-0.357632115417204,0.556500554324135,28.1361122036384,-0.64264467059075,0,4.814351088279609,ns
ACVR2A,96,93,117,160,114,124,0.286455271885477,0.525260789796248,6986.0,0.277332343731599,0.260178750382952,116.249541291857,1.06593003203912,0,6.861081213287705,ns
ACVR2B,575,567,599,622,576,547,0.41162721148378,0.643316017834921,8507.0,-0.0958882921417126,0.116789750019228,578.520595731053,-0.821033456497044,0,9.176224510957342,ns
ACY1,173,207,167,187,134,228,0.716348637016415,0.860626214233682,12106.0,-0.0884802144334107,0.24351701241682,182.827757475328,-0.363343051704175,0,7.514341311220643,ns
ACYP1,342,310,436,356,317,350,0.27105106357048,0.507495000286035,6807.0,-0.185583750008472,0.168613585820554,351.098799074444,-1.10064529560494,0,8.45573325129585,ns
ACYP2,208,170,171,248,238,168,0.446069198260803,0.67445030916551,8877.0,0.153486784608177,0.201430298650653,198.107391669995,0.761984595348161,0,7.6301389000208015,ns
ADA,214,152,153,152,173,108,0.12938481063669,0.321032807974496,4901.0,-0.355343682299879,0.234313297189583,157.447242309732,-1.51653229484612,0,7.2987246786490285,ns
ADAL,523,417,398,532,373,427,0.510797248779403,0.725526212489626,9612.0,-0.0995587781246407,0.151397904493087,441.631036616333,-0.65759680398474,0,8.786697754098807,ns
ADAM10,671,491,658,727,748,572,0.569881367945214,0.769333220439301,10395.0,0.0738694410266917,0.130000056476384,638.063536672539,0.568226222579457,0,9.31755628065892,ns
ADAM11,67,35,39,57,64,36,0.869293130365652,0.942766633331204,13855.0,0.067157250340076,0.408110773127137,48.8390014166815,0.164556426250367,0,5.609961797548274,ns
ADAM12,24,14,30,12,11,32,0.571508783609066,1.0,10414.0,-0.371054327683963,0.655769013263053,20.6194288361381,-0.565830833996909,0,4.365932465096598,ns
