rownames(count),DMSO.GFP.1,DMSO.GFP.2,DMSO.GFP.3,TPG.GFP.1,TPG.GFP.2,TPG.GFP.3,p.value,q.value,ranking,log2FC,lfcSE,baseMean,stat,zero,log2_baseMean,deg
SRSF9,2101,2039,2152,1315,1752,1612,0.0190633971095037,0.155775187809087,1277.0,-0.315225564082054,0.13446532122107,1791.84340903266,-2.34428893055482,0,10.807228849020147,ns
SRXN1,568,386,540,278,380,316,0.0067429133987021,0.0810247846777989,840.5,-0.478764040757879,0.17671255943794,396.863031751238,-2.70928134525728,0,8.632497369665659,ns
SS18,145,104,143,116,178,125,0.435978526738942,0.768793390992745,7171.0,0.22214490265775,0.285166017388407,131.589992523363,0.779002016762677,0,7.039905965429185,ns
SS18L1,76,35,86,51,59,46,0.731982438100845,0.913826836319504,10840.0,-0.153818383344516,0.449118351976872,56.5094539874807,-0.342489641466347,0,5.820420344359894,ns
SS18L2,647,484,687,236,451,354,0.0001608249849973,0.0050123786990826,314.0,-0.69256414522545,0.183522455055301,455.988110846637,-3.77372973251017,0,8.832852398712536,down
SSB,696,661,802,482,923,644,0.926166046346037,0.981246751057637,13139.0,0.0160731578196448,0.173445847358959,681.39013862272,0.0926696030166708,0,9.41233725804396,ns
SSBP1,1843,1817,1892,1421,2152,1717,0.822116493653988,0.946345228176378,11915.0,0.0305726049091812,0.135984846663295,1773.27897802527,0.224823615714186,0,10.792203808237755,ns
SSBP2,46,26,112,18,48,20,0.10888615106538,0.414244496463127,2933.0,-0.965184322732428,0.602028720609487,41.5054083082483,-1.60321972970872,0,5.375227432096743,ns
SSBP3,306,197,348,247,212,226,0.608427441927975,0.863520816599553,9351.0,-0.12875349306701,0.251314855173625,250.335990286282,-0.512319468652414,0,7.967721908986862,ns
SSBP4,308,141,241,165,124,122,0.0830232011133677,0.358330052208783,2546.0,-0.5384756862071,0.310645692729407,177.273520995179,-1.73340786242978,0,7.469833249520545,ns
SSH1,86,76,162,45,75,62,0.0775231613572558,0.347229489192978,2448.0,-0.699673746712084,0.396361453693705,80.4813109911353,-1.76524165049806,0,6.330581900838517,ns
SSH2,677,327,653,299,567,568,0.77384876499698,0.930510007431351,11274.0,-0.0634248453962431,0.220727755877884,491.644202988874,-0.287344222497022,0,8.94147082185218,ns
SSNA1,618,343,535,300,192,233,0.0014002347054015,0.0263873687506294,525.0,-0.835134065977165,0.261420324384752,358.007012406171,-3.19460266887296,0,8.483844036103717,down
SSPN,16,18,19,21,24,33,0.32060470162759,1.0,5731.0,0.677575851408432,0.68220392130469,21.8347258287916,0.993216002207365,0,4.448552510689475,ns
SSR1,615,638,667,484,739,648,0.723056544225166,0.910663468974187,10738.0,0.0618933597915123,0.174654113113025,620.825637724369,0.354376766102605,0,9.278044326317286,ns
SSR2,350,347,322,504,470,583,0.0007422825898911,0.0167082312594951,440.0,0.745191025151448,0.220897754092247,432.560069082264,3.37346582908334,0,8.756756681713766,up
SSR3,486,447,477,365,695,613,0.080452790192731,0.3524275249916,2507.0,0.338129398550317,0.193430689412805,502.296601074213,1.74806489899184,0,8.972395702431355,ns
SSR4,300,82,228,303,117,195,0.456523083783361,0.78031823988564,7460.0,0.303438173753967,0.407526976420217,202.663493083348,0.744584263891969,0,7.662942421198924,ns
SSRP1,701,524,641,623,581,574,0.623902058095709,0.871287095333033,9584.0,0.0893925237617907,0.182311811679313,600.149996649298,0.490327658632631,0,9.229179311124675,ns
SSTR2,48,49,58,43,35,54,0.865094691108277,0.966551007864933,12459.0,-0.0827657554656896,0.487165487881748,47.5328947478245,-0.169892485252937,0,5.57085435916515,ns
SSU72,528,325,522,327,278,384,0.195196992422597,0.546770414716998,4160.0,-0.292780826320314,0.226023214386333,383.941846350372,-1.29535732475636,0,8.584743999847719,ns
SSX2IP,176,185,209,130,161,136,0.273005845920789,0.629525455473975,5174.0,-0.299225983069826,0.272974898161929,163.198122806442,-1.09616666251974,0,7.350480652516654,ns
