baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ABCD4	205.835411637085	0.209864762955564	0.358946083829573	0.584669320574641	0.558770086674097	0.967636521854298
ABCE1	1561.20295209157	-0.144444475644693	0.13857078739772	-1.04238763708626	0.297231995940137	0.826472196522635
ABCF1	0	NA	NA	NA	NA	NA
ABCF2	1264.49207639439	0.0107531031671624	0.148598815509155	0.0723633168293996	0.942312777160596	0.991816425564769
ABCF2-H2BE1	4.82759510985676	-4.09069786028444	2.75804183134617	-1.48318920104551	0.138024149539044	0.641413172724451
ABCF3	72.9019004461093	0.0323720817731002	0.668434639523005	0.0484296890960064	0.961373798581764	0.991976803970897
ABCG1	15.2295985530254	-0.319376196183743	1.30137657729036	-0.245414126669412	0.806135791909804	0.977835308485984
ABCG2	33.0150019925596	1.53135551725857	0.84411217158366	1.81416116105227	0.0696529177037927	0.485988513765449
ABCG4	1.06986315669925	3.02193277616809	6.11355873906374	0.494300113100881	0.621094245271994	0.977835308485984
ABCG5	0	NA	NA	NA	NA	NA
ABCG8	0.0714729043636338	1.27394093388645	6.23220230253343	0.204412641317594	0.838031052399223	NA
ABHD1	4.38765081663262	-5.17209290041713	2.7872311595767	-1.85563830349924	0.0635051302046043	0.467185457384698
ABHD10	588.105076534926	-0.159735621400597	0.234641971806052	-0.680763207754789	0.496021334007248	0.943082129457458
ABHD11	200.972510642605	0.55232399124335	0.35145433815813	1.57153840848265	0.116057640164934	0.595983526658035
ABHD12	504.081566696398	-0.525434134922213	0.260225284971006	-2.01915096367656	0.0434715312095901	0.396481314766985
ABHD12B	0.142945808727268	1.75541966748149	6.21735806643239	0.282341735625462	0.777681486365603	0.977835308485984
ABHD13	186.87315018099	-0.815435770590943	0.508190955194145	-1.60458536748144	0.108585083741197	0.578458187136428
ABHD14A	92.5577251176442	-0.0816941897631616	0.616267370774196	-0.132562899866874	0.894539075017897	0.988249635218792
ABHD14A-ACY1	237.515652993408	0.48946128406596	0.344649374014127	1.42017169033331	0.15555770323788	0.670932605883038
ABHD14B	77.8686634855807	1.29329952949327	0.639707326895202	2.02170504403984	0.0432068324753234	0.395823061776018
ABHD15	113.721618180498	0.547580101200844	0.615096619162819	0.890234288632786	0.373340096783745	0.878106184421996
ABHD16A	1.08804020614663	0.221340666010983	5.92579758782454	0.0373520463246604	0.970204307453575	0.993701340471325
ABHD16B	0	NA	NA	NA	NA	NA
ABHD17A	45.676518287816	-1.29953681491246	0.706918954609513	-1.83831089326258	0.0660166068446288	0.475269342666515
ABHD17B	294.447567229549	-0.32973890644351	0.292186848704411	-1.12852069799037	0.259100080649994	0.797374741093972
ABHD17C	226.836163582771	-0.296836210632672	0.481152892028411	-0.616927000856818	0.537282876358822	0.959634278301402
ABHD18	255.418768703413	0.173601307395463	0.362733329359568	0.478592104293169	0.6322288364873	0.977835308485984
ABHD2	599.089358588155	-0.0150236350211519	0.21131600692816	-0.0710955844734438	0.943321682359722	0.991816425564769
ABHD3	225.117887519167	-0.0774758188540084	0.401705712447518	-0.192867107569775	0.847063045709751	0.981154679747825
ABHD4	105.48314001476	-0.007607877757072	0.497315458631425	-0.0152978911574724	0.987794524899816	0.997310442345411
ABHD5	371.039630645796	-0.321886899723469	0.303003900074029	-1.06231932871104	0.288090742552491	0.819379697961247
ABHD6	58.219549866637	-0.28600162728391	0.822155814447853	-0.347867912940546	0.727939383778051	0.977835308485984
ABHD8	125.474524455136	-1.78982293631922	0.609124867530361	-2.93835144766932	0.00329962744724828	0.0959873486626535
ABI1	438.952859574228	0.156502566083662	0.263189577875572	0.594638159105417	0.55208536710339	0.965207887847318
ABI2	1032.74835851886	-0.16478128779791	0.260272996164338	-0.633109428278399	0.526662185772017	0.953901841438968
ABI3	0.0897769310532335	-0.64316560426271	6.23277661019478	-0.103190864118361	0.917811490581555	NA
ABI3BP	85.8020724114934	-0.532618267181781	0.539034323480078	-0.988097128478065	0.323105081956648	0.843706612767102
ABITRAM	192.554453297972	-0.670398093351933	0.340215241126272	-1.97051164178477	0.0487797620790408	0.416165912826823
ABL1	246.360495129227	0.105271682977142	0.373001034255642	0.28222893051013	0.77776797628159	0.977835308485984
ABL2	549.72704966258	-0.170466539101469	0.244362513020289	-0.697596930865232	0.48542930151692	0.938608981895454
ABLIM1	651.943115975132	-0.132051854060843	0.214818911060289	-0.614712426429636	0.538744651889114	0.960427449830872
ABLIM2	5.80477957331871	-1.74051967728826	2.48460639513054	-0.700521290092234	0.483601814087265	0.937481621674929
ABLIM3	4.17677750199432	-4.84902091052228	3.4536522379404	-1.40402697679081	0.160310816562218	0.676068331537418
