gene_name	DMSO-P0-1	DMSO-P0-2	DMSO-P0-3	TPG-P0-1	TPG-P0-2	TPG-P0-3
ALKBH8	184	254	182	216	284	325
ALLC	0	0	0	0	0	0
ALMS1	196	163	120	227	205	38
ALOX12	0	0	0	0	0	0
ALOX12B	83	120	90	132	73	91
ALOX15	0	0	0	0	0	0
ALOX15B	9	0	0	0	35	0
ALOX5	0	0	0	0	0	0
ALOX5AP	0	0	0	0	0	0
ALOXE3	8	15	3	4	0	0
ALPG	16	0	0	0	6	1
ALPI	0	0	0	0	0	0
ALPK1	14	62	58	44	50	40
ALPK2	0	0	0	0	0	0
ALPK3	0	0	0	0	0	0
ALPL	0	9	0	7	17	17
ALPP	40	13	15	18	12	18
ALS2	142	171	120	159	224	242
ALS2CL	0	2	0	0	0	0
ALX1	82	133	105	174	178	88
ALX3	0	0	0	0	0	0
ALX4	41	37	47	36	75	57
ALYREF	1197	1926	1315	1844	1111	1459
AMACR	213	145	167	349	145	132
AMBN	27	33	29	52	26	0
AMBP	0	0	0	0	0	0
AMBRA1	15	44	14	31	33	32
AMD1	1766	2119	1531	1102	1228	942
AMDHD1	0	16	7	20	14	21
AMDHD2	168	243	205	238	166	135
AMELX	0	0	0	0	0	0
AMELY	0	0	0	0	0	0
AMER1	23	30	14	29	6	0
AMER2	3	0	5	6	13	0
AMER3	0	0	0	0	0	0
AMFR	535	780	703	520	406	195
AMH	0	15	34	57	20	26
AMHR2	28	50	49	30	31	72
AMIGO1	29	14	26	19	44	14
AMIGO2	64	49	31	19	29	5
AMIGO3	29	30	21	61	33	64
AMMECR1	574	650	627	408	426	370
AMMECR1L	113	247	226	307	414	233
AMN	0	0	0	0	0	0
AMN1	109	101	127	187	53	14
AMOT	122	182	123	247	106	70
AMOTL1	380	417	273	402	274	192
AMOTL2	302	385	336	450	346	209
AMPD1	0	16	0	7	0	0
AMPD2	339	451	192	392	226	318
AMPD3	28	0	18	0	0	8
AMPH	73	59	28	75	12	65
AMT	0	0	19	0	0	0
AMTN	0	0	0	0	0	0
AMY1A	0	0	0	0	0	0
AMY1B	0	0	0	0	0	0
AMY1C	0	0	0	0	0	0
AMY2A	0	0	0	0	0	0
AMY2B	0	0	0	0	0	0
AMZ1	0	0	0	0	0	0
AMZ2	1027	962	750	531	506	447
ANAPC1	167	121	75	92	107	130
ANAPC10	446	364	284	463	407	344
ANAPC11	3718	3833	2721	3081	2249	2712
ANAPC13	471	663	520	459	303	373
ANAPC15	1070	1165	951	755	623	693
ANAPC16	1668	1934	1229	1237	906	910
ANAPC2	0	0	0	0	2	1
ANAPC4	93	135	133	245	196	266
ANAPC5	1772	2081	1437	1547	1334	1201
ANAPC7	899	939	862	1175	942	587
ANG	102	62	42	65	37	82
ANGEL1	216	270	168	223	145	136
ANGEL2	137	113	120	166	148	95
ANGPT1	8	0	6	0	0	0
ANGPT2	0	0	0	0	0	34
ANGPT4	0	0	0	0	0	0
ANGPTL1	0	0	0	0	0	0
ANGPTL2	9	1	3	0	0	0
ANGPTL3	0	0	0	0	0	0
ANGPTL4	0	0	0	0	0	0
ANGPTL5	0	0	0	0	0	0
ANGPTL6	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0
ANGPTL8	0	0	0	0	0	0
ANHX	0	0	0	0	0	0
ANK1	15	39	14	63	0	0
ANK2	36	41	74	14	20	1
ANK3	242	331	221	267	356	167
ANKAR	0	17	4	0	0	0
ANKDD1A	1	1	0	0	17	1
ANKDD1B	5	0	0	2	0	0
ANKEF1	45	21	27	32	14	0
ANKFN1	0	0	0	0	0	0
ANKFY1	227	355	200	233	362	203
ANKH	2005	2284	2032	1821	1665	1146
ANKHD1	1346	1692	1196	1804	1838	1750
ANKHD1-EIF4EBP3	77	112	37	126	150	88
ANKIB1	303	301	184	139	157	85
ANKK1	0	0	0	0	0	0
ANKLE1	0	3	8	18	0	0
ANKLE2	381	501	440	649	400	511
ANKMY1	53	41	18	41	62	49
ANKMY2	178	163	150	161	183	291
ANKRA2	27	41	43	49	74	30
ANKRD1	20	43	23	37	4	101
ANKRD10	402	424	318	355	473	435
ANKRD11	2165	2538	1937	2640	2669	2343
ANKRD12	797	1022	833	1129	1041	664
ANKRD13A	324	403	379	389	269	234
ANKRD13B	227	242	181	269	186	156
ANKRD13C	205	198	170	72	114	39
ANKRD13D	41	105	14	73	5	34
ANKRD16	86	156	162	236	91	45
ANKRD17	132	274	277	202	212	242
ANKRD18A	11	0	0	0	0	16
ANKRD18B	1	20	30	9	0	0
ANKRD2	0	0	0	0	0	0
ANKRD20A1	0	0	0	0	0	0
ANKRD20A2P	0	0	0	0	0	0
ANKRD20A3P	0	0	0	0	0	0
ANKRD20A4P	8	6	2	2	0	0
ANKRD22	0	0	4	0	0	0
ANKRD23	0	0	0	0	0	0
ANKRD24	0	0	6	0	13	0
ANKRD26	1013	1431	948	1389	1203	1130
ANKRD27	118	231	146	251	226	262
ANKRD28	317	363	269	206	268	279
ANKRD29	37	68	43	37	24	39
ANKRD30A	0	0	0	0	0	0
ANKRD30B	0	0	0	0	0	0
ANKRD30BL	0	0	0	0	0	0
ANKRD31	7	23	36	25	9	2
ANKRD33	0	0	0	0	0	0
ANKRD33B	94	224	157	35	114	80
ANKRD34A	48	50	42	21	13	16
ANKRD34B	22	20	37	0	12	0
ANKRD34C	0	0	0	0	0	0
ANKRD35	0	0	0	0	0	0
ANKRD36	0	0	0	0	0	0
ANKRD36B	5	7	3	10	5	0
ANKRD36C	56	46	55	42	91	18
ANKRD37	27	24	22	23	26	1
ANKRD39	588	492	394	530	464	173
ANKRD40	450	475	364	336	497	216
ANKRD40CL	0	0	0	0	0	0
ANKRD42	40	93	81	131	117	65
ANKRD44	40	41	4	37	33	30
ANKRD45	0	0	0	0	0	0
ANKRD46	258	367	187	202	119	161
