gene_name	DMSO-Total-1	DMSO-Total-2	DMSO-Total-3	TPG-Total-1	TPG-Total-2	TPG-Total-3
FBXW10	1	2	0	0	0	8
FBXW11	554	617	633	670	746	599
FBXW12	0	1	2	8	0	0
FBXW2	594	514	598	588	462	497
FBXW4	242	234	196	158	293	253
FBXW5	1064	974	717	1089	1036	1043
FBXW7	553	549	629	561	481	569
FBXW8	136	123	47	138	108	51
FBXW9	113	127	130	144	160	122
FCAMR	0	0	0	0	0	0
FCAR	0	0	0	0	0	0
FCER1A	0	0	0	0	0	0
FCER1G	1	5	2	1	3	4
FCER2	0	0	0	0	0	0
FCF1	547	470	568	641	561	495
FCGBP	0	0	0	0	0	0
FCGR1A	0	0	0	0	0	0
FCGR1B	0	0	0	0	0	0
FCGR2A	21	23	27	13	32	10
FCGR2B	0	0	0	0	0	0
FCGR3A	0	0	0	0	0	0
FCGR3B	0	0	0	0	0	0
FCGRT	246	224	189	206	177	223
FCHO1	2	16	4	0	0	6
FCHO2	227	225	253	276	286	265
FCHSD1	23	11	9	17	10	21
FCHSD2	237	190	250	253	200	273
FCMR	17	4	9	7	17	8
FCN1	0	0	0	0	0	0
FCN2	0	0	0	0	0	0
FCN3	0	0	0	0	0	0
FCRL1	0	0	0	0	0	0
FCRL2	0	0	0	0	0	0
FCRL3	0	0	0	0	0	0
FCRL4	0	0	0	0	0	0
FCRL5	0	6	0	0	0	0
FCRL6	0	0	0	0	0	0
FCRLA	0	0	0	0	0	4
FCRLB	24	11	7	22	17	10
FCSK	50	51	69	52	49	41
FDCSP	0	0	0	0	0	0
FDFT1	9	15	2	4	12	5
FDPS	2121	1834	1844	2173	2480	2067
FDX1	1231	992	992	1228	1238	1068
FDX2	305	299	277	260	329	289
FDXACB1	39	56	62	69	37	59
FDXR	222	206	165	214	253	208
FECH	711	682	746	751	773	636
FEM1A	640	596	545	666	554	638
FEM1B	988	973	1079	1482	1337	1183
FEM1C	159	169	214	227	221	182
FEN1	1541	1344	1505	1397	1239	1279
FER	397	267	350	370	391	318
FER1L5	0	0	0	0	0	0
FER1L6	0	0	0	0	0	0
FERD3L	0	0	0	0	0	0
FERMT1	113	114	97	171	90	140
FERMT2	1206	957	1181	1267	1220	1455
FERMT3	0	1	0	0	0	4
FES	9	7	3	1	0	3
FETUB	0	0	0	0	0	0
FEV	0	0	0	0	0	0
FEZ1	30	47	3	37	22	46
FEZ2	471	472	553	641	507	601
FEZF1	31	0	2	21	18	15
FEZF2	0	0	0	0	0	0
FFAR1	0	0	0	0	0	0
FFAR2	0	0	0	0	0	0
FFAR3	0	0	0	0	0	0
FFAR4	15	3	0	5	0	12
FGA	0	0	0	0	0	0
FGB	0	0	0	0	0	0
FGD1	90	60	74	69	60	46
FGD2	0	0	0	0	0	0
FGD3	0	0	4	0	9	3
FGD4	217	143	213	196	243	256
FGD5	1	0	0	0	0	0
FGD6	194	136	189	192	132	120
FGF1	0	0	0	0	0	5
FGF10	0	0	0	0	0	0
FGF11	0	0	0	0	0	0
FGF12	43	31	51	52	57	39
FGF13	397	368	331	343	247	353
FGF14	0	0	0	0	0	0
FGF16	0	2	0	0	0	0
FGF17	0	0	0	0	0	0
FGF18	21	13	31	26	9	15
FGF19	1	0	0	2	0	1
FGF2	130	75	202	135	183	159
FGF20	8	0	0	0	0	1
FGF21	0	1	0	0	1	5
FGF22	1	0	0	6	0	8
FGF23	1	0	0	20	15	25
FGF3	0	0	0	0	0	0
FGF4	0	0	0	0	0	0
FGF5	37	19	20	6	0	24
FGF6	1	3	0	0	7	0
FGF7	0	0	0	0	0	0
FGF8	10	0	1	0	0	0
FGF9	621	543	572	526	610	534
FGFBP1	21	3	15	1	17	0
FGFBP2	0	0	0	0	0	0
FGFBP3	43	45	64	35	13	41
FGFR1	846	631	721	755	799	683
FGFR1OP2	664	679	692	834	701	751
FGFR2	544	403	472	480	459	369
FGFR3	239	240	283	284	284	214
FGFR4	22	15	10	13	34	15
FGFRL1	323	290	332	258	230	220
FGG	0	0	0	0	0	0
FGGY	51	36	60	78	18	53
FGL1	0	0	0	0	0	0
FGL2	0	0	0	0	0	0
FGR	0	0	0	0	0	0
FH	607	634	607	671	753	609
FHAD1	24	10	21	27	39	29
FHDC1	7	6	0	14	0	4
FHIP1A	75	70	44	127	60	57
FHIP1B	97	86	65	173	180	104
FHIP2A	332	224	323	344	290	191
FHIP2B	96	59	84	93	40	75
FHIT	65	25	60	56	43	41
FHL1	1705	1380	1705	1789	1564	1540
FHL2	395	336	363	459	328	456
FHL3	144	141	151	294	293	212
FHL5	0	0	0	0	0	0
FHOD1	745	545	632	667	686	622
FHOD3	54	46	29	84	51	43
FIBCD1	7	0	9	0	2	1
FIBIN	5	10	1	14	8	12
FIBP	458	575	386	445	565	454
FICD	248	238	190	717	539	667
FIG4	253	329	309	343	427	259
FIGLA	0	0	0	0	0	0
FIGN	204	179	199	149	178	134
FIGNL1	494	378	566	644	538	492
FIGNL2	0	0	4	0	0	0
FILIP1	0	15	2	19	7	11
FILIP1L	34	14	79	99	94	63
FIP1L1	880	919	1088	1367	1286	1218
FIS1	438	537	386	398	439	361
FITM1	0	0	0	0	0	0
FITM2	253	255	207	178	114	185
FIZ1	65	143	81	108	152	120
FJX1	422	497	501	420	249	325
FKBP10	94	111	61	129	102	90
FKBP11	732	644	689	813	785	578
FKBP14	407	431	436	483	490	419
FKBP15	254	233	188	286	244	258
FKBP1A	5705	5062	4540	4655	4536	4745
FKBP1B	173	124	99	181	152	196
FKBP1C	841	683	509	817	687	635
FKBP2	577	506	465	711	647	547
FKBP3	4230	3909	4079	4216	4389	3830
FKBP4	3896	3319	3346	3377	3596	3074
FKBP5	1007	902	1046	905	1018	1013
FKBP6	6	0	0	0	0	0
FKBP7	61	70	111	110	103	128
FKBP8	70	91	45	53	47	40
FKBP9	140	143	186	179	131	127
FKBPL	0	0	0	0	0	0
FKRP	226	283	213	279	161	188
FKTN	424	415	478	551	491	495
FLACC1	0	3	0	0	0	0
FLAD1	1030	930	962	1235	1234	1070
FLCN	345	255	291	355	419	259
FLG	0	0	0	0	0	0
FLG2	2	0	0	0	0	0
FLI1	16	28	48	59	47	65
FLII	0	2	9	0	3	0
FLNA	756	660	696	874	902	850
FLNB	237	206	220	279	371	219
FLNC	0	0	0	0	0	0
FLOT1	0	0	0	0	0	0
FLOT2	695	565	630	544	661	552
FLRT1	0	12	0	0	0	1
FLRT2	0	0	0	3	0	0
FLRT3	72	68	52	43	74	32
FLT1	110	97	137	154	162	143
FLT3	0	0	0	0	0	3
FLT3LG	24	2	6	10	1	2
FLT4	588	472	429	520	490	469
FLVCR1	434	381	431	543	458	346
FLVCR2	20	11	15	24	1	12
FLYWCH1	181	223	191	217	226	179
FLYWCH2	84	76	103	136	81	94
FMC1	1108	1013	983	1176	1008	1136
FMC1-LUC7L2	0	7	2	2	0	0
FMN1	2	11	2	13	3	0
FMN2	384	255	422	394	381	398
FMNL1	10	4	5	3	11	1
FMNL2	232	240	239	335	320	280
FMNL3	95	50	67	67	77	40
FMO1	0	0	0	1	0	0
FMO2	0	0	0	0	0	0
FMO3	8	0	0	0	0	0
FMO4	13	4	0	4	3	13
FMO5	5	1	1	0	0	0
FMOD	0	0	0	0	0	0
FMR1	1649	1457	1636	1791	1762	1523
FMR1NB	0	0	0	0	0	0
FN1	50	41	77	98	46	41
FN3K	0	0	0	0	0	0
FN3KRP	436	443	384	547	494	490
FNBP1	745	557	602	786	606	602
FNBP1L	158	125	220	277	151	186
FNBP4	0	0	0	5	0	0
FNDC1	5	7	10	6	9	1
FNDC10	70	146	73	63	57	50
FNDC11	0	0	0	0	0	0
FNDC3A	396	327	348	606	586	485
FNDC3B	437	406	465	810	745	723
FNDC4	20	24	17	26	26	25
FNDC5	21	11	6	4	4	2
FNDC7	0	0	0	0	0	0
FNDC8	2	0	0	0	0	0
FNDC9	0	0	0	0	0	0
FNIP1	303	258	365	390	488	360
FNIP2	1167	828	1015	1222	1028	1039
FNTA	434	352	373	523	453	417
FNTB	268	235	259	251	316	238
FOCAD	466	431	491	566	579	463
FOLH1	0	0	0	0	0	0
FOLR1	5	3	3	6	7	1
FOLR2	0	0	0	0	0	0
FOLR3	0	0	0	0	0	0
FOS	52	26	25	60	70	77
FOSB	27	17	6	51	71	97
FOSL1	41	25	17	58	52	29
FOSL2	91	91	96	110	141	119
FOXA1	205	191	197	231	167	172
FOXA2	103	125	135	66	32	79
FOXA3	9	1	3	10	9	2
FOXB1	261	210	215	317	262	266
FOXC1	8342	7029	6848	8048	8298	7512
FOXC2	28	34	42	25	24	30
FOXD1	885	736	709	922	822	854
FOXD2	160	150	120	146	189	104
FOXD3	61	64	70	54	50	59
FOXD4	4	4	10	7	3	13
FOXD4L1	0	0	0	0	0	0
FOXD4L3	0	0	0	0	0	0
FOXD4L4	0	0	0	0	0	0
FOXD4L5	0	0	0	0	0	0
FOXD4L6	0	0	0	0	0	0
FOXE1	73	75	91	92	84	82
FOXE3	0	0	1	0	0	0
FOXF1	25	26	9	29	25	15
FOXF2	301	313	299	403	344	341
FOXG1	271	259	290	349	489	317
FOXH1	0	0	0	0	0	6
FOXI1	0	0	0	0	0	0
FOXI2	0	0	0	0	0	0
FOXI3	21	20	7	18	33	14
FOXJ1	0	1	0	0	4	3
FOXJ2	165	95	120	209	146	221
FOXJ3	495	433	497	591	679	562
FOXK1	352	222	315	294	223	261
FOXK2	1193	945	999	1237	1161	914
FOXL1	7	0	1	2	5	0
FOXL2	0	0	0	0	0	0
FOXL2NB	2	0	1	0	17	1
FOXL3	0	0	0	0	0	0
FOXM1	1220	1060	1117	1038	1057	913
FOXN1	0	0	0	0	0	0
FOXN2	164	184	109	241	256	166
FOXN3	1095	1184	1156	1331	1353	1376
FOXN4	33	45	75	26	12	35
FOXO1	703	562	668	816	683	802
FOXO3	1019	911	1167	1725	1386	1581
FOXO3B	298	168	299	301	351	269
FOXO4	84	63	66	65	82	30
FOXP1	1196	1006	1120	1492	1493	1147
FOXP2	368	278	324	416	398	380
FOXP3	2	5	2	4	0	0
FOXP4	75	61	71	83	36	55
FOXQ1	107	91	105	90	64	93
FOXR1	0	0	0	0	0	0
FOXR2	0	0	0	0	0	0
FOXRED1	281	297	310	449	367	398
FOXRED2	3332	2593	2517	2569	2652	2365
FOXS1	0	0	0	0	0	0
FPGS	196	152	178	199	198	183
FPGT	139	166	106	144	182	121
FPGT-TNNI3K	9	0	13	8	8	13
FPR1	0	0	0	0	0	0
FPR2	0	0	0	0	0	0
FPR3	0	0	0	0	0	0
FRA10AC1	262	190	209	340	243	224
FRAS1	223	188	263	144	150	89
FRAT1	47	72	65	92	85	40
FRAT2	420	417	387	437	420	327
FREM1	7	6	0	0	0	0
FREM2	108	86	141	113	178	83
FREM3	0	0	0	0	0	0
FRG1	0	0	0	0	0	0
FRG2	0	0	0	0	0	0
FRG2B	0	0	0	0	0	0
FRG2C	0	0	6	0	0	0
FRK	9	6	4	4	0	2
FRMD1	0	0	0	0	0	0
FRMD3	17	18	21	12	6	14
FRMD4A	169	147	152	152	185	136
FRMD4B	112	102	157	132	61	78
FRMD5	1515	1213	1067	976	869	829
FRMD6	251	179	194	350	313	330
FRMD7	0	0	0	0	0	0
FRMD8	298	177	200	246	169	178
FRMPD1	0	0	0	0	0	0
FRMPD2	4	14	12	2	12	5
FRMPD3	5	12	2	17	13	6
FRMPD4	106	57	78	72	111	96
FRRS1	48	60	51	96	111	50
FRRS1L	0	0	0	0	0	0
FRS2	245	202	197	220	262	245
FRS3	53	30	21	40	30	22
FRY	46	44	42	83	34	62
FRYL	275	246	309	301	345	295
FRZB	12	6	6	3	4	1
FSBP	344	248	387	465	453	467
FSCB	0	0	0	0	0	0
FSCN1	1455	1158	1209	1240	1119	940
FSCN2	0	0	0	0	0	0
FSCN3	0	0	0	0	0	2
FSD1	140	137	159	139	176	161
FSD1L	265	209	266	314	324	241
FSD2	0	0	0	0	0	0
FSHB	0	0	0	0	0	0
FSHR	0	0	0	1	0	0
FSIP1	8	5	2	7	5	7
FSIP2	0	0	0	0	0	0
FST	19	10	12	29	25	17
FSTL1	1441	1243	1402	1309	1518	1313
FSTL3	8	15	2	12	34	16
FSTL4	25	13	6	8	23	22
FSTL5	0	0	0	0	0	0
FTCD	0	0	0	0	0	0
FTCDNL1	81	123	104	78	93	65
FTH1	5686	4877	4692	4730	4990	4360
FTHL17	0	0	0	0	0	0
FTL	4384	3934	3712	3839	3849	3465
FTMT	0	0	0	0	0	0
FTO	856	741	917	717	879	652
FTSJ1	322	330	262	342	362	315
FTSJ3	1096	1081	1133	1085	911	937
FUBP1	1915	1798	1917	2016	2134	2009
FUBP3	1363	1167	1086	1338	1046	1252
FUCA1	455	383	440	417	547	341
FUCA2	995	775	814	755	745	734
FUNDC1	253	265	225	252	330	266
FUNDC2	335	313	269	216	229	209
FUOM	74	82	62	82	66	47
FURIN	437	317	322	320	253	354
FUS	9093	8193	8776	8584	8366	7300
FUT1	12	12	16	49	18	38
FUT10	56	22	26	51	52	21
FUT11	37	35	12	49	16	35
FUT2	0	0	0	1	0	0
FUT3	0	0	0	0	0	0
FUT4	113	32	72	83	94	53
FUT5	0	0	0	0	0	0
FUT6	0	0	4	0	0	0
FUT7	0	0	0	0	0	0
FUT8	122	111	120	83	130	102
FUT9	0	0	0	0	0	0
FUZ	270	249	187	214	229	282
FXN	624	688	656	721	559	511
FXR1	1218	1143	1225	1395	1239	1103
FXR2	654	410	485	813	684	736
FXYD1	0	0	0	0	0	0
FXYD2	0	0	2	4	6	0
FXYD3	0	2	0	4	0	0
FXYD4	0	0	0	0	0	0
FXYD5	329	280	294	342	286	270
FXYD6	183	153	169	148	182	150
FXYD6-FXYD2	0	0	0	3	0	0
FXYD7	0	0	0	0	0	0
FYB1	3	0	0	1	0	0
FYB2	0	0	0	0	0	0
FYCO1	153	99	139	103	88	145
FYN	2056	1636	1535	1831	1971	1807
FYTTD1	740	677	732	747	727	646
FZD1	238	240	319	207	338	213
FZD10	0	0	0	0	0	0
FZD2	209	154	145	158	192	137
FZD3	793	646	688	676	571	629
FZD4	42	57	37	42	50	54
FZD5	171	97	133	162	203	138
FZD6	381	319	266	430	373	420
FZD7	331	366	336	423	407	300
FZD8	612	511	498	429	453	338
FZD9	69	60	42	80	61	70
FZR1	78	64	48	92	79	66
G0S2	63	31	20	38	22	40
G2E3	636	566	602	654	661	683
G3BP1	3239	2885	3144	2985	3123	2891
G3BP2	751	677	784	855	880	818
G6PC1	0	0	0	0	0	0
G6PC2	0	0	0	0	0	0
G6PC3	973	804	696	728	789	735
G6PD	334	326	312	291	315	349
GAA	229	255	231	182	211	188
GAB1	97	134	67	168	191	130
GAB2	58	31	52	78	35	44
GAB3	9	7	4	6	6	24
GAB4	0	0	0	0	0	0
GABARAP	1470	1479	1219	1204	1149	1199
GABARAPL1	226	224	198	355	453	397
GABARAPL2	1204	1103	1086	1080	1126	993
GABBR1	0	0	0	0	0	0
GABBR2	57	43	44	56	55	7
GABPA	590	520	502	631	755	648
GABPB1	360	251	271	327	290	255
GABPB2	160	175	225	232	215	136
GABRA1	0	0	0	0	0	0
GABRA2	0	0	0	0	0	0
GABRA3	0	0	0	0	0	0
GABRA4	2	0	0	0	0	0
GABRA5	7	4	5	5	8	7
GABRA6	0	0	0	0	0	0
GABRB1	0	11	1	0	0	0
GABRB2	0	3	0	2	8	0
GABRB3	562	442	461	449	409	433
GABRD	18	7	17	23	3	28
GABRE	0	0	0	0	0	0
GABRG1	0	0	0	0	0	0
GABRG2	0	1	0	0	0	0
GABRG3	1	2	0	2	0	4
GABRP	0	0	0	1	0	0
GABRQ	0	0	0	1	0	5
GABRR1	0	0	0	0	0	0
GABRR2	0	0	0	0	5	0
GABRR3	0	0	0	0	0	0
GAD1	297	228	250	329	392	336
GAD2	0	0	0	0	0	0
GADD45A	433	412	303	1798	1564	1415
GADD45B	282	227	291	407	395	419
GADD45G	22	16	31	56	56	42
GADD45GIP1	1970	1521	1400	1448	1490	1514
GADL1	8	10	4	12	17	10
GAGE1	0	0	0	0	0	0
GAGE10	0	0	0	0	0	0
GAGE12B	0	0	0	0	0	0
GAGE12C	0	0	0	0	0	0
GAGE12D	0	0	0	0	0	0
GAGE12E	0	0	0	0	0	0
GAGE12F	0	0	0	0	0	0
GAGE12G	0	0	0	0	0	0
GAGE12H	0	0	0	0	0	0
GAGE12J	0	0	0	0	0	0
GAGE13	0	0	0	0	0	0
GAGE2A	0	0	0	0	0	0
GAK	517	414	449	505	644	524
GAL	0	0	0	0	0	0
GAL3ST1	9	4	10	6	11	1
GAL3ST2	0	0	0	0	0	0
GAL3ST3	0	0	0	0	0	0
GAL3ST4	10	4	0	19	7	1
GALC	127	107	146	146	119	70
GALE	231	220	201	215	302	266
GALK1	290	264	159	256	419	328
GALK2	235	304	267	347	332	267
GALM	496	381	445	349	440	396
