gene_name	DMSO-L10a-1	DMSO-L10a-2	DMSO-L10a-3	TPG-L10a-1	TPG-L10a-2	TPG-L10a-3
GNAT2	0	4	5	0	3	0
GNAT3	0	0	0	0	0	0
GNAZ	94	26	61	29	54	51
GNB1	6136	4000	5623	2805	3663	3262
GNB1L	112	46	120	88	123	108
GNB2	1892	999	1791	1250	1523	1168
GNB3	23	18	12	23	10	9
GNB4	917	727	774	429	959	731
GNB5	552	424	499	318	515	515
GNE	164	85	188	76	174	105
GNG10	973	681	948	551	654	547
GNG11	216	276	210	100	201	186
GNG12	1155	1023	1283	776	958	907
GNG13	0	0	0	0	0	0
GNG14	0	0	0	0	0	0
GNG2	43	38	48	25	12	3
GNG3	0	0	0	0	0	2
GNG4	0	0	0	0	0	0
GNG5	6636	5755	5888	3345	4525	3799
GNG5P2	735	315	887	269	405	421
GNG7	37	10	56	15	23	28
GNG8	0	0	0	0	0	0
GNGT1	13	11	5	2	42	18
GNGT2	0	0	0	0	0	0
GNL1	0	0	0	0	0	0
GNL2	764	899	845	859	1578	1399
GNL3	1617	1313	1408	1404	2272	1781
GNL3L	3081	2413	3107	2071	3691	2631
GNLY	0	0	0	0	0	0
GNMT	7	3	9	1	8	2
GNPAT	879	910	1175	656	1078	824
GNPDA1	3111	2161	2999	2068	2330	2001
GNPDA2	93	98	172	75	165	83
GNPNAT1	940	738	907	693	960	892
GNPTAB	441	511	423	332	502	446
GNPTG	483	400	456	306	383	242
GNRH1	11	5	9	0	1	4
GNRH2	0	0	0	0	0	0
GNRHR	0	0	0	0	0	0
GNS	811	585	809	497	576	502
GOLGA1	40	83	125	66	108	67
GOLGA2	312	273	350	229	478	343
GOLGA3	566	483	680	504	566	509
GOLGA4	852	625	754	339	558	408
GOLGA5	82	81	79	38	163	106
GOLGA6A	0	0	0	0	0	0
GOLGA6B	0	0	0	0	0	0
GOLGA6C	0	0	0	0	0	0
GOLGA6D	0	0	0	0	0	0
GOLGA6L1	0	0	0	0	0	0
GOLGA6L10	0	0	1	0	0	0
GOLGA6L2	0	0	0	0	0	0
GOLGA6L22	0	0	0	0	0	0
GOLGA6L4	0	3	0	0	0	0
GOLGA6L6	0	0	0	0	0	0
GOLGA6L7	0	0	0	0	0	0
GOLGA6L9	0	0	0	0	0	0
GOLGA7	1608	1282	1829	905	1477	1146
GOLGA7B	0	0	9	0	0	4
GOLGA8A	83	57	104	5	135	83
GOLGA8B	47	51	100	38	81	61
GOLGA8F	0	0	0	0	0	0
GOLGA8G	0	0	0	0	0	0
GOLGA8H	0	0	0	0	0	0
GOLGA8J	0	0	0	0	0	0
GOLGA8K	0	2	0	0	0	0
GOLGA8M	0	0	0	0	0	0
GOLGA8N	0	0	0	0	0	0
GOLGA8O	0	0	0	0	0	0
GOLGA8Q	0	0	0	0	0	0
GOLGA8R	0	0	0	0	0	0
GOLGA8T	0	0	0	0	0	0
GOLGB1	1004	818	960	681	1615	1198
GOLIM4	501	313	481	325	639	402
GOLM1	2391	1667	2151	1653	1962	1589
GOLM2	634	269	514	294	549	400
GOLPH3	887	797	1070	842	1338	1180
GOLPH3L	321	232	340	269	341	341
GOLT1A	0	0	0	0	0	0
GOLT1B	645	404	653	433	622	572
GON4L	136	114	101	85	111	133
GON7	0	0	0	0	0	0
GOPC	328	321	426	366	579	484
GORAB	112	111	84	176	267	175
GORASP1	217	146	269	175	210	153
GORASP2	1234	877	1148	1165	1505	1456
GOSR1	1248	988	1181	1171	1956	1376
GOSR2	865	643	890	858	1028	1091
GOT1	1025	1081	1350	1134	1466	1324
GOT1L1	0	0	0	0	0	0
GOT2	5933	3972	5594	4538	4703	4153
GP1BA	0	0	0	0	0	0
GP1BB	7	6	20	14	1	7
GP2	0	0	0	0	0	0
GP5	0	0	0	0	0	0
GP6	0	0	0	0	0	0
GP9	0	0	0	0	0	0
GPA33	0	0	0	0	2	0
GPAA1	995	305	713	656	365	359
GPALPP1	1394	993	1198	1001	1715	1398
GPAM	283	202	156	327	365	421
GPANK1	0	0	0	0	1	0
GPAT2	0	0	0	0	0	0
GPAT3	239	250	244	289	299	258
GPAT4	410	393	518	448	472	504
GPATCH1	436	315	623	335	620	544
GPATCH11	339	273	486	396	542	383
GPATCH2	272	217	311	209	326	287
GPATCH2L	436	318	455	460	731	520
GPATCH3	120	102	144	142	110	137
GPATCH4	4342	3907	4815	4477	6760	6180
GPATCH8	1251	936	1164	957	1724	1410
GPBAR1	0	3	0	0	0	0
GPBP1	1348	981	1147	1168	1669	1255
GPBP1L1	517	558	625	584	906	650
GPC1	105	21	130	16	36	46
GPC2	22	13	5	52	45	29
GPC3	223	169	236	166	276	222
GPC4	294	306	315	280	386	275
GPC5	0	0	0	0	0	0
GPC6	142	136	174	82	182	115
GPCPD1	273	252	315	124	295	280
GPD1	48	16	23	21	8	7
GPD1L	417	327	426	258	433	348
GPD2	339	330	518	233	404	417
GPER1	4	2	22	0	19	11
GPHA2	10	9	11	0	6	0
GPHB5	0	0	0	0	0	0
GPHN	714	431	558	442	914	964
GPI	13986	8730	12814	10563	11994	10047
GPIHBP1	0	0	0	0	0	0
GPKOW	261	287	255	314	323	359
GPLD1	92	46	81	71	73	40
GPM6A	52	49	19	34	45	51
GPM6B	1022	1068	1001	643	1068	891
GPN1	682	582	683	524	846	567
GPN2	712	501	800	585	790	698
GPN3	1097	737	1035	690	1140	982
GPNMB	28	34	53	8	23	11
GPR101	1	0	8	0	0	4
GPR107	516	390	607	357	738	620
GPR108	119	16	55	92	46	28
GPR119	0	0	4	0	0	0
GPR12	15	18	45	0	26	17
GPR132	0	0	0	0	0	0
GPR135	63	39	51	49	40	25
GPR137	194	68	166	224	53	77
GPR137B	221	154	191	201	167	166
GPR137C	93	67	55	51	84	34
GPR139	0	0	0	0	0	0
GPR141	0	0	0	0	0	0
GPR143	0	0	0	0	0	0
GPR146	20	15	6	10	5	10
GPR148	0	0	0	0	0	0
GPR149	0	0	0	0	0	0
GPR15	0	0	0	0	0	0
GPR150	0	0	0	0	0	0
GPR151	0	0	0	0	0	0
GPR152	0	0	0	0	0	0
GPR153	190	91	214	151	135	117
GPR155	129	63	40	84	199	123
GPR156	0	0	0	0	0	1
GPR157	173	196	158	78	162	169
GPR158	0	0	0	0	0	0
GPR160	85	60	145	77	113	88
GPR161	459	419	360	212	365	245
GPR162	7	7	8	9	5	4
GPR17	0	0	0	0	0	0
GPR171	0	0	0	0	0	0
GPR173	18	12	18	0	21	12
GPR174	0	0	0	0	0	0
GPR176	130	117	183	62	98	72
